DoT,Material,Material ID,Weld ID,"WRC 
Cr/Ni Eq.","Hammar 
and 
Svensson 
Cr/Ni Eq.","Suutala 
Cr/Ni Eq.","Power 
(W)",Set Power (W),"Travel 
Speed
(mm/sec)","Beam 
Diameter 
(mm)","Computed
D86
(mm)","Computed D2M
(mm)","Power 
Density 
(kW/mm2)","Interaction 
Time
(ms)","Specific 
Point 
Energy 
(J)","Energy Density
(J/mm2)","Weld 
Depth
(mm)","Weld Toe 
Width
(mm)","Centroid
Weld 
Width
(mm)","FWHM 
Weld 
Width
(mm)","X-Sec
FZ Area
(mm2)","Fusion 
Boundary 
Length  
(mm)","Total Perimeter Length  
(mm)","Aspect Ratio  
(D/W)"
13-Apr-21,304L,M2P1C3,G,1.7,1.8,2.0,1600,1750,75,0.6,561,607,5.7,8,13,21,0.86,1.39,0.95,0.79,0.75,2.27,3.73,0.62
13-Apr-21,304L,M2P1C3,H,1.7,1.8,2.0,1600,1750,50,0.6,561,607,5.7,12,19,32,1.77,1.40,0.72,0.62,1.39,4.03,5.53,1.26
13-Apr-21,304L,M2P1C3,I,1.7,1.8,2.0,2000,2190,150,0.6,561,607,7.1,4,8,13,0.53,1.04,0.80,0.71,0.36,1.43,2.58,0.51
13-Apr-21,304L,M2P1C3,J,1.7,1.8,2.0,2000,2190,100,0.6,561,607,7.1,6,12,20,0.78,1.26,0.96,0.85,0.65,2.05,3.39,0.62
13-Apr-21,304L,M2P1C3,K,1.7,1.8,2.0,2000,2190,75,0.6,561,607,7.1,8,16,27,1.06,1.59,1.09,0.85,1.03,2.69,4.38,0.67
13-Apr-21,304L,M2P1C3,L,1.7,1.8,2.0,2000,2190,50,0.6,561,607,7.1,12,24,40,2.28,1.54,0.64,0.59,1.80,5.08,6.77,1.48
14-Apr-21,304L,M2P5C1,A,1.7,1.8,2.0,2400,2630,150,0.6,561,607,8.5,4,10,16,0.63,1.08,0.87,0.71,0.44,1.65,2.83,0.58
14-Apr-21,304L,M2P5C1,B,1.7,1.8,2.0,2400,2630,100,0.6,561,607,8.5,6,14,24,1.05,1.35,0.97,0.86,0.95,2.52,3.99,0.78
14-Apr-21,304L,M2P5C1,C,1.7,1.8,2.0,2400,2630,75,0.6,561,607,8.5,8,19,32,1.64,1.36,0.82,0.85,1.56,3.99,5.42,1.21
14-Apr-21,304L,M2P5C1,D,1.7,1.8,2.0,2400,2630,50,0.6,561,607,8.5,12,29,48,2.71,1.62,0.64,0.63,2.11,5.99,7.73,1.68
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
