DoT,Process,Material,Material ID,Weld ID,"Power 
(W)","Beam 
Diameter 
(mm)","Travel 
Speed
(mm/sec)","Weld 
Depth
(mm)","Weld Toe 
Width
(mm)","X-Sec
FZ Area
(mm2)","Aspect Ratio  
(D/W)"
24-Oct-19,LBW,304L,M2P5C1,F,1600,0.5,50,2.065,1.352,1.487,1.53
24-Oct-19,LBW,304L,M2P5C1,G,1800,0.5,50,2.336,1.413,1.644,1.65
24-Oct-19,LBW,304L,M2P5C1,H,2010,0.5,50,2.569,1.439,1.876,1.79
24-Oct-19,LBW,304L,M2P5C2,A,800,0.5,75,0.241,0.762,0.137,0.32
24-Oct-19,LBW,304L,M2P5C2,B,1000,0.5,75,0.763,0.955,0.443,0.80
24-Oct-19,LBW,304L,M2P5C2,C,1200,0.5,75,0.866,1.14,0.636,0.76
24-Oct-19,LBW,304L,M2P5C2,D,1400,0.5,75,0.962,1.29,0.823,0.75
24-Oct-19,LBW,304L,M2P5C2,E,1600,0.5,75,1.135,1.341,1.041,0.85
24-Oct-19,LBW,304L,M2P5C2,F,1800,0.5,75,1.437,1.189,1.269,1.21
24-Oct-19,LBW,304L,M2P5C2,G,2000,0.5,75,1.874,1.093,1.316,1.71
24-Oct-19,LBW,304L,M2P5C2,H,2200,0.5,75,2.163,1.159,1.436,1.87
24-Oct-19,LBW,304L,M2P5C3,A,1000,0.5,100,0.491,0.873,0.291,0.56
24-Oct-19,LBW,304L,M2P5C3,B,1200,0.5,100,0.568,0.975,0.382,0.58
24-Oct-19,LBW,304L,M2P5C3,C,1400,0.5,100,0.643,1.032,0.466,0.62
24-Oct-19,LBW,304L,M2P5C3,D,1600,0.5,100,0.795,1.15,0.614,0.69
24-Oct-19,LBW,304L,M2P5C3,E,1800,0.5,100,0.940,1.179,0.774,0.80
24-Oct-19,LBW,304L,M2P5C3,F,2000,0.5,100,1.096,1.186,0.919,0.92
24-Oct-19,LBW,304L,M2P5C3,G,2200,0.5,100,1.363,1.112,1.191,1.23
24-Oct-19,LBW,304L,M2P5C3,H,2400,0.5,100,1.555,1.032,1.289,1.51
24-Oct-19,LBW,304L,M2P5C4,A,1000,0.5,125,0.359,0.73,0.195,0.49
24-Oct-19,LBW,304L,M2P5C4,B,1200,0.5,125,0.435,0.812,0.261,0.54
24-Oct-19,LBW,304L,M2P5C4,C,1400,0.5,125,0.53,0.911,0.346,0.58
24-Oct-19,LBW,304L,M2P5C4,D,1600,0.5,125,0.628,0.957,0.432,0.66
24-Oct-19,LBW,304L,M2P5C4,E,1800,0.5,125,0.745,0.965,0.533,0.77
24-Oct-19,LBW,304L,M2P5C4,F,2000,0.5,125,0.892,1.025,0.664,0.87
24-Oct-19,LBW,304L,M2P5C4,G,2200,0.5,125,0.982,1.136,0.766,0.86
24-Oct-19,LBW,304L,M2P5C4,H,2400,0.5,125,1.079,1.161,0.904,0.93
24-Oct-19,LBW,304L,M2P5C5,A,700,0.5,100,0.179,0.666,0.093,0.27
24-Oct-19,LBW,304L,M2P5C5,B,800,0.5,100,0.209,0.690,0.114,0.30
24-Oct-19,LBW,304L,M2P5C5,C,900,0.5,100,0.363,0.747,0.201,0.49
24-Oct-19,LBW,304L,M2P5C5,D,700,0.5,125,0.154,0.62,0.08,0.25
24-Oct-19,LBW,304L,M2P5C5,E,800,0.5,125,0.193,0.596,0.094,0.32
24-Oct-19,LBW,304L,M2P5C5,F,900,0.5,125,0.197,0.596,0.095,0.33
24-Oct-19,LBW,304L,M2P5C5,G,900,0.5,50,1.079,1.009,0.645,1.07
24-Oct-19,LBW,304L,M2P5C5,H,900,0.5,75,0.620,0.921,0.397,0.67
